name,address_line1,address_line2,address_city,address_state,address_zip,business_name,deserves_line,headline_font,qr_image_url,old_shot_url,new_shot_url,metadata_slug,metadata_qr_code,metadata_trade,metadata_mailable
Reimagine Roofing,1100 E Washington St #200,,Phoenix,AZ,85034,Reimagine Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0009.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/reimagine-roofing-new.jpg,reimagine-roofing,ro0009,roofing,yes
Phoenix Roofing Replacement Pros,1517 W Grant St,,Phoenix,AZ,85007,Phoenix Roofing Replacement Pros,deserves a better,48,https://demo.buildlocal.agency/m/qr/ro0010.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/phoenix-roofing-replacement-pros-new.jpg,phoenix-roofing-replacement-pros,ro0010,roofing,yes
Reyes Roofing LLC,2733 W Maryland Ave,,Phoenix,AZ,85017,Reyes Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0011.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/reyes-roofing-llc-new.jpg,reyes-roofing-llc,ro0011,roofing,yes
Valley Roofing and Repair,4010 N 27th Ave Building C,,Phoenix,AZ,85017,Valley Roofing and Repair,deserves a better,62,https://demo.buildlocal.agency/m/qr/ro0012.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/valley-roofing-and-repair-new.jpg,valley-roofing-and-repair,ro0012,roofing,yes
Arizona Sky Roofing Consultants - Roofin,2954 E Gable Cir,,Mesa,AZ,85204,Arizona Sky Roofing Consultants,deserves a better,50,https://demo.buildlocal.agency/m/qr/ro0013.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/arizona-sky-roofing-consultants-roofing-contractor-and-roof--new.jpg,arizona-sky-roofing-consultants-roofing-contractor-and-roof-,ro0013,roofing,yes
A1 Roofing Solutions,2450 W Broadway Rd UNIT 108,,Mesa,AZ,85202,A1 Roofing Solutions,deserves a better,77,https://demo.buildlocal.agency/m/qr/ro0014.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/a1-roofing-solutions-new.jpg,a1-roofing-solutions,ro0014,roofing,yes
Johnson Roofing Llc,1121 S Horne,,Mesa,AZ,85204,Johnson Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0015.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/johnson-roofing-llc-new.jpg,johnson-roofing-llc,ro0015,roofing,yes
"Right Way Roofing, Inc.",8255 E Willetta St,,Mesa,AZ,85207,Right Way Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0017.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/right-way-roofing-inc-new.jpg,right-way-roofing-inc,ro0017,roofing,yes
The Roofing Company,935 E Sorenson Cir,,Mesa,AZ,85203,The Roofing Company,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0018.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/the-roofing-company-new.jpg,the-roofing-company,ro0018,roofing,yes
Overson Roofing,842 E Isabella Ave Ste. 101,,Mesa,AZ,85204,Overson Roofing,deserves a better,78,https://demo.buildlocal.agency/m/qr/ro0019.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/overson-roofing-new.jpg,overson-roofing,ro0019,roofing,yes
