to.name,to.address_line1,to.address_line2,to.address_city,to.address_state,to.address_zip,front_image,back_image,qr_target,metadata_slug,metadata_qr_code,metadata_trade,metadata_mailable
Real Roofing,481 N Arizona Ave,,Chandler,AZ,85225,https://demo.buildlocal.agency/m/flyers/real-roofing-front.png,https://demo.buildlocal.agency/m/flyers/real-roofing-back.png,https://demo.buildlocal.agency/q/ro0025,real-roofing,ro0025,roofing,yes
Chandler Roofing - Roof Repair & Replace,250 S Arizona Ave Suite 1,,Chandler,AZ,85225,https://demo.buildlocal.agency/m/flyers/chandler-roofing-roof-repair-and-replacement-front.png,https://demo.buildlocal.agency/m/flyers/chandler-roofing-roof-repair-and-replacement-back.png,https://demo.buildlocal.agency/q/ro0026,chandler-roofing-roof-repair-and-replacement,ro0026,roofing,yes
Next Level Roofers Chandler,1245 W Chandler Blvd,,Chandler,AZ,85224,https://demo.buildlocal.agency/m/flyers/next-level-roofers-chandler-front.png,https://demo.buildlocal.agency/m/flyers/next-level-roofers-chandler-back.png,https://demo.buildlocal.agency/q/ro0027,next-level-roofers-chandler,ro0027,roofing,yes
Discount Roofing LLC,1787 E Carla Vista Dr,,Chandler,AZ,85225,https://demo.buildlocal.agency/m/flyers/discount-roofing-llc-front.png,https://demo.buildlocal.agency/m/flyers/discount-roofing-llc-back.png,https://demo.buildlocal.agency/q/ro0028,discount-roofing-llc,ro0028,roofing,yes
Roofing All Stars,2840 E Germann Rd #1011,,Chandler,AZ,85286,https://demo.buildlocal.agency/m/flyers/roofing-all-stars-front.png,https://demo.buildlocal.agency/m/flyers/roofing-all-stars-back.png,https://demo.buildlocal.agency/q/ro0029,roofing-all-stars,ro0029,roofing,yes
Power Peak Roofing,235 W Warner Rd #8,,Chandler,AZ,85225,https://demo.buildlocal.agency/m/flyers/power-peak-roofing-front.png,https://demo.buildlocal.agency/m/flyers/power-peak-roofing-back.png,https://demo.buildlocal.agency/q/ro0030,power-peak-roofing,ro0030,roofing,yes
Ultimate Roofing Chandler,109 W Boston St #3,,Chandler,AZ,85225,https://demo.buildlocal.agency/m/flyers/ultimate-roofing-chandler-front.png,https://demo.buildlocal.agency/m/flyers/ultimate-roofing-chandler-back.png,https://demo.buildlocal.agency/q/ro0031,ultimate-roofing-chandler,ro0031,roofing,yes
Champion Metal Roofing Chandler,2434 E Westchester Dr,,Chandler,AZ,85249,https://demo.buildlocal.agency/m/flyers/champion-metal-roofing-chandler-front.png,https://demo.buildlocal.agency/m/flyers/champion-metal-roofing-chandler-back.png,https://demo.buildlocal.agency/q/ro0032,champion-metal-roofing-chandler,ro0032,roofing,yes
VHB Roofing,4980 S Alma School Rd #2-411,,Chandler,AZ,85248,https://demo.buildlocal.agency/m/flyers/vhb-roofing-front.png,https://demo.buildlocal.agency/m/flyers/vhb-roofing-back.png,https://demo.buildlocal.agency/q/ro0034,vhb-roofing,ro0034,roofing,yes
ProGuard Roofing,1721 N Arizona Ave,,Chandler,AZ,85225,https://demo.buildlocal.agency/m/flyers/proguard-roofing-front.png,https://demo.buildlocal.agency/m/flyers/proguard-roofing-back.png,https://demo.buildlocal.agency/q/ro0035,proguard-roofing,ro0035,roofing,yes
#1 Desert Roofing,572 N Cheri Lynn Dr,,Chandler,AZ,85225,https://demo.buildlocal.agency/m/flyers/1-desert-roofing-front.png,https://demo.buildlocal.agency/m/flyers/1-desert-roofing-back.png,https://demo.buildlocal.agency/q/ro0036,1-desert-roofing,ro0036,roofing,yes
