to.name,to.address_line1,to.address_line2,to.address_city,to.address_state,to.address_zip,business_name,deserves_line,headline_font,qr_image_url,old_shot_url,new_shot_url,slug,qr_code,qr_target
Garcia Landscaping & Handyman Services,,,Glendale,AZ,,Garcia Landscaping,deserves a,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0253,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/garcia-landscaping-and-handyman-services-new.jpg,garcia-landscaping-and-handyman-services,az0253,https://buildlocal.agency/q/az0253
Cutting Edge Curbing Sand & Rock,,,Glendale,AZ,,Cutting Edge Curbing,deserves a better,77,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0254,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/cutting-edge-curbing-sand-and-rock-new.jpg,cutting-edge-curbing-sand-and-rock,az0254,https://buildlocal.agency/q/az0254
"Shepherd Landscaping, LLC",,,Glendale,AZ,,Shepherd Landscaping,deserves a,77,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0255,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/shepherd-landscaping-llc-new.jpg,shepherd-landscaping-llc,az0255,https://buildlocal.agency/q/az0255
En Caliente Landscaping,,,Glendale,AZ,,En Caliente Landscaping,deserves a better,67,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0256,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/en-caliente-landscaping-new.jpg,en-caliente-landscaping,az0256,https://buildlocal.agency/q/az0256
Alpha 2 Omega Landscaping Inc.,,,Glendale,AZ,,Alpha 2 Omega Landscaping,deserves a better,62,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0257,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/alpha-2-omega-landscaping-inc-new.jpg,alpha-2-omega-landscaping-inc,az0257,https://buildlocal.agency/q/az0257
Pablo's Landscaping,,,Glendale,AZ,,Pablo's Landscaping,deserves a,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0258,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/pablo-s-landscaping-new.jpg,pablo-s-landscaping,az0258,https://buildlocal.agency/q/az0258
Top Quality Lawn & Ground Services,,,Glendale,AZ,,Top Quality Lawn & Ground,deserves a better,62,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0259,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/top-quality-lawn-and-ground-services-new.jpg,top-quality-lawn-and-ground-services,az0259,https://buildlocal.agency/q/az0259
Landscape Materials,,,Glendale,AZ,,Landscape Materials,deserves a,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0260,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/landscape-materials-new.jpg,landscape-materials,az0260,https://buildlocal.agency/q/az0260
Father&Son Landscaping,,,Glendale,AZ,,Father&Son Landscaping,deserves a,70,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0261,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/fatherandson-landscaping-new.jpg,fatherandson-landscaping,az0261,https://buildlocal.agency/q/az0261
Royal Tree Works,,,Glendale,AZ,,Royal Tree Works,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0262,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/royal-tree-works-new.jpg,royal-tree-works,az0262,https://buildlocal.agency/q/az0262
Victor's Landscaping Inc.,,,Peoria,AZ,,Victor's Landscaping,deserves a better,77,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0263,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/victor-s-landscaping-inc-new.jpg,victor-s-landscaping-inc,az0263,https://buildlocal.agency/q/az0263
Power Green Landscaping LLC,,,Glendale,AZ,,Power Green Landscaping,deserves a better,67,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0264,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/power-green-landscaping-llc-new.jpg,power-green-landscaping-llc,az0264,https://buildlocal.agency/q/az0264
Phoenix Lawn & Landscaping llc,,,Glendale,AZ,,Phoenix Lawn & Landscaping,deserves a better,59,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0265,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/phoenix-lawn-and-landscaping-llc-new.jpg,phoenix-lawn-and-landscaping-llc,az0265,https://buildlocal.agency/q/az0265
Bedrock Sand and Gravel,,,Glendale,AZ,,Bedrock Sand and Gravel,deserves a better,67,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0266,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/bedrock-sand-and-gravel-new.jpg,bedrock-sand-and-gravel,az0266,https://buildlocal.agency/q/az0266
USA Landscaping & Design,,,Glendale,AZ,,USA Landscaping & Design,deserves a better,64,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0267,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/usa-landscaping-and-design-new.jpg,usa-landscaping-and-design,az0267,https://buildlocal.agency/q/az0267
